Groupid,Id,Matchid,Matchtype,Assists,Boosts,Damagedealt,Headshotkills,Heals,Is Duo,Is Squad,Kills,Killstreaks,Longestkill,Matchduration,Matchkillrank,Matchtypeint,Maxplace,Numenemiesknocked,Numgroups,Overallkillrank,Overallwinbasedrank,Revives,Ridedistance,Swimdistance,Teamkills,Vehicledestroys,Walkdistance,Weaponsacquired,Winplaceperc,Ln Damage Dealt,Ln Match Kill Rank,Ln Win Place Perc,Ln Win Place Perc
bb17b6d50f50a8,1629e652af006e,8e4866e1214144,squad,1,4,278.1,0,4,0,1,0,0,0,"1,872",47,3,16,0,16,0,0,0,5121,0,0,0,1202,7,0.3333,5.627980761,3.850147602,-1.098712294,-1.098712294
86fdbc7ce2d700,720ebf997cf301,9cc56275433394,squad,1,4,530.3,0,8,0,1,3,2,25.22,"1,334",11,3,28,1,27,"1,524","1,459",0,285.6,29.3,0,0,3997,8,0.8519,6.273442884,2.397895273,-0.16028613,-0.16028613
9135085174a745,8437b73135b527,3508be8f090a92,solo,0,2,244.8,0,3,0,0,2,1,33.49,"1,310",19,1,94,0,92,"1,063","1,507",0,2663,0,0,0,943.3,3,0.6237,5.500441551,2.944438979,-0.472085795,-0.472085795
f96b7320c6c8e0,3d6d6e0f5adc99,7175d3f3b93a30,duo,0,0,290.9,0,0,1,0,2,1,54.7,"1,456",15,2,50,1,48,"1,265","1,510",0,0,0,0,0,1338,2,0.9796,5.672979566,2.708050201,-0.020610954,-0.020610954
567e014c7d27c1,49b22bb060ff36,9e89e9fb5066e1,squad,0,2,138.6,0,2,0,1,1,1,25.29,"1,963",35,3,28,0,28,0,0,0,1166,0,0,0,2088,5,0.2963,4.931592087,3.555348061,-1.216382824,-1.216382824
fe84fc87eff7ff,8a7cfa841d7f8c,25b7f4446497da,squad,0,0,130.1,0,1,0,1,1,1,105.9,"1,455",27,3,28,1,27,0,0,0,265.5,11.6,0,0,1572,3,0.5185,4.868303386,3.295836866,-0.656815251,-0.656815251
83af8c6dfe8bec,3bf1e76284bf11,9be7ab7ba898ce,duo,0,0,69.09,0,9,1,0,0,0,0,"1,848",46,2,49,0,47,0,0,1,1832,0,0,0,1519,5,0.8958,4.235410003,3.828641396,-0.110038105,-0.110038105
78f1284b13efa1,c01103894859ad,75b720f900e841,solo,0,6,22.6,0,13,0,0,0,0,0,"1,861",40,1,94,0,91,0,0,0,1270,37.85,0,0,2983,3,0.8602,3.117949906,3.688879454,-0.150590359,-0.150590359
642655fc22b458,ee18286ff20088,efbbecb0ce2c91,squad,0,1,436.9,1,0,0,1,3,1,81.7,"1,426",13,3,30,3,30,"1,337","1,515",0,0,0,0,0,290.1,2,0.4483,6.079704336,2.564949357,-0.802292628,-0.802292628
5c6c1bc15a7468,1d41d9c082cfcf,236655a734dd1d,duo,0,0,99.48,0,0,1,0,1,1,20.37,"1,375",28,2,47,0,43,0,0,0,0,0,0,0,200.5,3,0.6304,4.599956619,3.33220451,-0.46140074,-0.46140074
0d5fa839f0379d,8d6d6d89b69b81,3b9dd7a433e987,squad,0,7,902.1,1,5,0,1,7,3,45.87,"1,798",1,3,27,6,24,0,0,0,1838,0,0,0,1707,8,0.8077,6.804725379,0,-0.213564577,-0.213564577
79b2f0553287bc,44ee03ef3900a9,c576cab3aeab72,duo,2,1,192.7,1,1,1,0,1,1,60.29,"1,857",26,2,47,1,43,"1,401","1,435",0,0,0,0,0,3620,7,0.7174,5.261134575,3.258096538,-0.332121714,-0.332121714
c193798b7a9796,e361d7d0f5f16d,7dd9e3265dcc0e,squad,0,2,484.8,1,3,0,1,5,3,224.1,"1,817",2,3,28,4,26,0,0,0,0,0,0,0,2975,6,0.7778,6.183736435,0.693147181,-0.251285857,-0.251285857
436ebb305f1de5,5c9509f5a0faeb,ae9eaaace44d9c,squad,0,1,35.01,0,2,0,1,0,0,0,"1,400",63,3,27,0,27,0,0,0,0,0,0,0,529.1,4,0.4615,3.555633735,4.143134726,-0.773273225,-0.773273225
72f19375c57d01,6ccf4dad669db6,ca6de556a6ed94,squad,1,0,57.33,0,0,0,1,0,0,0,"1,307",75,3,28,0,27,0,0,0,0,0,0,0,101.2,1,0.2963,4.048824047,4.317488114,-1.216382824,-1.216382824
100b5e723387c8,31c8dff4730236,77aec0dc6fffdd,duo,0,1,48.7,1,0,1,0,2,1,13.29,"1,431",22,2,49,2,47,"1,480","1,489",0,0,0,0,0,74.1,2,0.125,3.88567903,3.091042453,-2.079441542,-2.079441542
130621429487ec,0f2df006310315,0a6aeaa40254a8,duo,0,0,28.38,0,0,1,0,0,0,0,"1,399",72,2,47,0,45,"1,000","1,500",0,0,0,0,0,183.7,3,0.2609,3.345684672,4.276666119,-1.343618087,-1.343618087
79a611b96348c1,f0da303d25bdaf,36da1aea3c3366,squad,1,3,156.1,0,0,0,1,3,2,57.36,"1,794",7,3,27,2,27,0,0,0,4834,0,0,0,1840,4,0.9615,5.050496828,1.945910149,-0.039260714,-0.039260714
09859559e79326,ea89fcd2f13813,6b15cbbee4383b,solo,0,0,74.82,0,0,0,0,0,0,0,"1,980",83,1,96,0,95,0,0,0,0,0,0,0,92.07,2,0.1474,4.315085229,4.418840608,-1.914605299,-1.914605299
1dbb4a6f0bf8ef,2147fdf9b82050,2a0be9e44a6500,duo,1,0,349,0,0,1,0,1,1,3.741,"1,356",31,2,47,2,46,0,0,0,0,0,0,0,610,7,0.6087,5.855071922,3.433987204,-0.496429743,-0.496429743
11f2328bbcd4c9,40f94fa435292f,66778fb8f05707,squad,0,0,6.63,0,0,0,1,1,1,112.5,"1,344",20,3,27,1,26,0,0,0,0,0,0,0,765.4,4,0.8077,1.891604804,2.995732274,-0.213564577,-0.213564577
70efeaf536cd7c,c9db3e78da882a,2e2b899f07c32e,squad,0,6,259.5,1,2,0,1,2,2,24.89,"1,881",10,3,26,2,26,"1,114","1,490",0,3016,0,0,0,3391,6,1,5.558756703,2.302585093,0,0
861920857f9616,a38b84e27a3be1,7bd93ed6417b62,duo,0,0,122.8,0,0,1,0,0,0,0,"1,419",76,2,46,1,45,0,0,0,0,0,0,0,42.87,2,0.1778,4.810557016,4.33073334,-1.727095956,-1.727095956
34e48b7a6212c8,3fc31e6772f19b,c3de8c91fb86a1,squad,1,1,111.9,0,1,0,1,1,1,53.91,"1,894",23,3,29,1,26,0,0,1,2358,0,0,0,1691,7,0.7857,4.717605615,3.135494216,-0.241180239,-0.241180239
1fb2af2ebe8549,2685fcaeff5dd0,387e7ffeb5728d,solo,2,6,819.3,1,4,0,0,7,1,139.5,"1,428",2,1,96,0,96,0,0,0,270.6,0,0,0,2983,4,0.9789,6.708450317,0.693147181,-0.021325787,-0.021325787
87092862dfcaed,d8f7bbc747b0bc,0ff264c9a79c70,squad,0,4,109.3,1,1,0,1,1,1,151.8,"1,748",16,3,26,0,25,0,0,0,1307,71.43,0,0,3507,3,1,4.694096395,2.772588722,0,0
7bf8d5a703cd28,f5c1290696bc81,7a8be24527e07f,squad,0,1,79.16,0,2,0,1,0,0,0,"1,860",50,3,28,0,26,0,0,0,6685,0,0,0,1935,4,0.7407,4.371471121,3.912023005,-0.300159594,-0.300159594
0d4afde9c5c611,c3a61b0d182839,e1a138378dc5dc,squad,0,0,199,0,0,0,1,1,1,55.38,"1,981",29,3,29,2,26,"1,059","1,460",0,3328,0,0,0,2807,6,0.4286,5.293304825,3.36729583,-0.847231196,-0.847231196
ffba4fff2687ac,00da656449ce6d,06539cd27385ab,duo,0,0,128.9,0,0,1,0,1,1,6.965,"1,310",40,2,48,1,47,"1,130","1,516",0,0,0,0,0,291.5,3,0.2553,4.85903691,3.688879454,-1.365315955,-1.365315955
d339d2c0d07111,18a775d4dea27b,82af3a1b0e4ff1,squad,0,0,54.08,0,0,0,1,1,1,8.418,"1,444",48,3,29,1,29,"1,156","1,499",0,0,0,0,0,50.62,1,0.0714,3.990464432,3.871201011,-2.63945741,-2.63945741
5185d637ae2bd7,42d4167ea29077,0fbf1b8b616e26,solo,0,0,60.2,0,0,0,0,0,0,0,"1,364",86,1,96,0,94,"1,481","1,520",0,0,0,0,0,43.46,1,0.1053,4.097672352,4.454347296,-2.25094186,-2.25094186
1c6083cb54b5bf,b7fda6ac4c4c48,3b54bedd3adad9,solo,0,0,100,0,0,0,0,1,1,5.878,"1,352",42,1,93,0,93,0,0,0,0,0,0,0,83.61,2,0.2391,4.605170186,3.737669618,-1.430873405,-1.430873405
1e49e25e3eb3bd,4a76f07fa56b13,fe204e6ea957da,solo,0,0,50.31,0,0,0,0,0,0,0,"1,391",79,1,99,0,95,"1,015","1,507",0,0,0,0,0,77.38,4,0.1735,3.918203865,4.369447852,-1.75157768,-1.75157768
51cc9f88a861f2,5cc383d5c22dd2,242aa4999c5272,squad,0,1,36.19,0,6,0,1,0,0,0,"1,940",41,3,27,0,27,"1,440","1,560",0,5934,53.16,0,0,2936,7,1,3.588782838,3.713572067,0,0
a65b76e89bf19e,77b058353efac5,d25b8298e0f09e,squad,0,4,496.5,1,1,0,1,4,2,48.38,"1,454",5,3,26,4,26,0,0,1,0,0,0,0,2498,4,0.64,6.207583483,1.609437912,-0.446287103,-0.446287103
904d698a948165,3d1a888c16cc60,d3b67ab78da664,squad,0,2,339.5,2,2,0,1,3,1,21.95,"1,316",10,3,27,3,27,0,0,1,0,0,0,0,1688,2,0.8077,5.827473947,2.302585093,-0.213564577,-0.213564577
bbbc52ab55c3b5,eb2fbb55fce7a9,0ed47522fe64ff,duo,2,0,42.87,0,0,1,0,0,0,0,"1,404",75,2,46,0,43,0,0,0,0,0,0,0,120.4,2,0.1556,3.758172281,4.317488114,-1.860466667,-1.860466667
15da671c3b3292,39e97e90436cd3,d6d4e067f69e81,duo,0,0,128.4,0,0,1,0,0,0,0,"1,787",58,2,46,1,45,0,0,0,1562,0,0,0,1445,7,0.5778,4.855150391,4.060443011,-0.548527491,-0.548527491
238a3b7f028b31,9edb7a2d204d8d,83b3619434764a,solo,0,5,267.5,2,3,0,0,3,1,8.265,"1,357",10,1,89,0,89,0,0,0,0,0,0,0,1049,4,0.8409,5.589119566,2.302585093,-0.173282532,-0.173282532
8fb157744c3b8c,883e1be2aa91f9,13da7f4d5a297e,squad,1,3,290,1,1,0,1,2,1,409.3,"1,338",14,3,29,1,26,0,0,0,0,0,0,0,2690,4,0.8929,5.669880923,2.63905733,-0.113280686,-0.113280686
7d79e37998d454,88c818dc945098,5545673831aaf6,duo,0,2,4.266,1,1,1,0,1,1,72.76,"1,379",28,2,49,0,47,0,0,0,0,0,0,0,2230,4,0.7083,1.45067662,3.33220451,-0.344887546,-0.344887546
d1eed5d7f5aee4,5df62e4443f0fc,0f21c44f8ed7b5,squad,0,1,100,0,1,0,1,1,1,61.03,"1,274",32,3,27,1,27,0,0,0,38.25,0,0,0,324.1,3,0.4231,4.605170186,3.465735903,-0.860146721,-0.860146721
5e9a95cb9ccfc2,82c154fb85310c,dd812e5463867f,duo,1,8,404,0,4,1,0,6,2,77.49,"1,391",3,2,49,3,46,"1,515","1,504",0,719.2,0,0,0,2673,5,1,6.001414878,1.098612289,0,0
121a01dbdd4a2e,f9c979890de3a1,cffb17dbc97b03,squad,0,0,129.7,0,0,0,1,0,0,0,"1,363",62,3,29,0,27,"1,008","1,496",0,0,0,0,0,67.7,2,0.4286,4.865224091,4.127134385,-0.847231196,-0.847231196
be7ff67448927d,24d81ac3302fb7,67e63cf755b7f3,duo,0,4,23.85,0,5,1,0,0,0,0,"1,861",41,2,49,0,47,"1,310","1,535",0,5074,497.8,0,0,4908,4,0.9792,3.171784217,3.713572067,-0.021019367,-0.021019367
3d7b732f4447f9,d1774951cfd46b,750f5aa47761d5,squad,0,0,32.52,0,0,0,1,0,0,0,"1,866",88,3,28,0,28,0,0,0,0,0,0,0,176.9,2,0.037,3.481855285,4.477336814,-3.296837366,-3.296837366
3c54c428e19458,efc3386d7c06d9,ba83769f958443,solo,0,0,152.1,0,0,0,0,1,1,35.02,"1,381",35,1,98,0,97,0,0,0,0,0,0,0,1193,4,0.6289,5.024538199,3.555348061,-0.463783017,-0.463783017
331f37798458c4,ca32f2e9b98d8a,a8366546742f2c,squad,1,2,129.7,0,1,0,1,1,1,25.49,"2,197",43,3,30,2,30,0,0,1,1795,0,0,0,1164,6,0.3103,4.865224091,3.761200116,-1.170215708,-1.170215708
c63b26e6a7fcc1,0f92e745ad7906,31045b7b933f3d,duo,1,2,100,0,0,1,0,0,0,0,"1,997",48,2,49,1,47,0,0,0,6055,0,0,0,2767,5,0.8333,4.605170186,3.871201011,-0.182361558,-0.182361558
3a4f1459407d01,6c70943c096dac,ec0b18d5a52b8c,duo,3,4,667,3,2,1,0,6,2,213.5,"1,757",3,2,49,4,47,"1,422","1,547",1,2196,11.16,0,0,3813,8,1,6.502790046,1.098612289,0,0
86e1f9704b9287,2b8b701974cb48,97763c731833c9,duo,0,2,46.11,0,3,1,0,0,0,0,"1,369",50,2,50,0,48,0,0,0,1096,0,0,0,1167,4,0.6122,3.831029846,3.912023005,-0.490696252,-0.490696252
525ac6a35de1ac,6090679b3bd654,0c85ca81516519,squad,2,4,106.5,0,5,0,1,1,1,4.907,"1,374",28,3,27,1,26,"1,024","1,502",0,562.3,0,0,0,2686,6,0.7692,4.668144985,3.33220451,-0.262404265,-0.262404265
1d48958b0228d1,f6455c34e1c75c,3fc4fa99532cf5,duo,0,3,320.6,0,3,1,0,2,1,197.3,"1,829",12,2,49,2,47,0,0,1,1460,0,0,0,2867,9,0.8958,5.77019424,2.48490665,-0.110038105,-0.110038105
d41425a7b86da2,9093147bac75b9,c3c688b246774e,duo,4,2,164.1,0,2,1,0,0,0,0,"1,359",43,2,49,0,48,0,0,1,0,0,0,0,2693,4,1,5.100475998,3.761200116,0,0
1d73d7efbefbc6,dc14d64fe73ddf,8cc63310eac542,solo,0,3,198,1,2,0,0,2,1,52.67,"1,869",16,1,96,0,93,0,0,0,0,0,0,0,1283,5,0.7053,5.288267031,2.772588722,-0.349132035,-0.349132035
9107ad60295cc8,fa29a3c0cd7713,4b6a4c547171c3,duo,0,0,260.5,0,1,1,0,1,1,43.92,"1,981",25,2,46,1,45,0,0,0,3296,0,0,0,1071,8,0.5556,5.562602861,3.218875825,-0.587706668,-0.587706668
dd566df3212f28,d2ddef36e95192,5796a8d7d93959,duo,0,2,419.8,1,9,1,0,3,1,73.91,"1,852",9,2,49,3,48,0,0,0,1148,0,0,0,2861,10,0.875,6.039778407,2.197224577,-0.133531393,-0.133531393
329856da5a3a3e,854ce77e861d63,74ba63f62fdac2,squad,0,1,107.4,1,5,0,1,1,1,48.19,"1,403",33,3,33,0,33,"1,573","1,547",0,0,0,0,0,399.6,4,0.5625,4.676560182,3.496507561,-0.575364145,-0.575364145
9cea1db3352966,1dd60393e4b114,95565547ccf4ba,squad,2,1,59.64,0,0,0,1,0,0,0,"1,889",83,3,29,0,29,0,0,0,0,0,0,0,344.4,2,0.1786,4.08832649,4.418840608,-1.722606611,-1.722606611
37fa7583da2fa2,9bd4a8157b350d,1ce1cb998f75c7,squad,2,10,252.9,1,10,0,1,2,1,15.53,"1,297",12,3,29,2,28,0,0,3,10.39,0,0,0,3708,6,1,5.532994154,2.48490665,0,0
81d3bc7e804422,b06f32150ea402,3bf51bfda6e6ce,solo,0,2,239.7,0,0,0,0,2,1,78.62,"1,342",13,1,95,0,92,"1,561","1,556",0,0,0,0,0,2432,5,0.9681,5.479388141,2.564949357,-0.032419891,-0.032419891
949ae76943f944,63112abf6fa899,64a3e8284ac604,squad,0,0,143,0,0,0,1,1,1,5.88,"1,816",41,3,29,1,27,0,0,0,0,0,0,0,151.3,1,0.0714,4.96284463,3.713572067,-2.63945741,-2.63945741
ce6e6abf174d34,b11e134ebd08f1,159969c060b484,squad,0,0,84.69,0,0,0,1,0,0,0,"1,384",83,3,28,0,27,0,0,0,0,0,0,0,57.61,2,0.1111,4.438997531,4.418840608,-2.197324582,-2.197324582
d934ce1a70985f,4706660970eb98,a5c198b02958b2,solo,0,0,20.78,0,0,0,0,0,0,0,"1,295",55,1,90,0,89,0,0,0,0,0,0,0,1100,8,0.6629,3.033990986,4.007333185,-0.41113113,-0.41113113
44e3aad1fc12d8,5b26c1826a0ab0,24336356f81d01,duo,1,1,445.5,0,0,1,0,5,2,191.3,"1,843",1,2,43,3,40,"1,584","1,721",0,5739,95.83,0,0,3782,4,1,6.099197247,0,0,0
54cc9c6bbcc3c6,39a815d803c303,3e41bce610c643,squad,0,1,34.3,0,2,0,1,0,0,0,"1,391",58,3,27,0,27,0,0,0,0,0,0,0,1409,2,0.4615,3.535145354,4.060443011,-0.773273225,-0.773273225
c55bb0a9ba7fb4,8871c72559818b,7dc80d7d9377a3,squad,0,0,181.3,0,0,0,1,0,0,0,"1,393",63,3,29,2,28,"1,317","1,542",0,0,0,0,0,712.8,2,0.4286,5.200153118,4.143134726,-0.847231196,-0.847231196
ff347d6280a780,18a45e1515929e,dda44b1675f7e6,squad,0,0,196.8,0,0,0,1,1,1,13.23,"1,335",32,3,27,1,25,"1,167","1,526",0,0,0,0,0,129.2,3,0.4615,5.282187985,3.465735903,-0.773273225,-0.773273225
c67cdd0b9962b1,480737fc283052,1ed2d5547ccea0,squad,0,2,42.21,0,8,0,1,0,0,0,"1,835",40,3,29,0,29,0,0,2,7817,0,0,0,1680,9,0.9286,3.74265716,3.688879454,-0.074077203,-0.074077203
dd8f5f966df7e9,95e619b684d901,e58fdd7096e9c8,squad,1,1,203.7,0,4,0,1,2,1,171.8,"1,834",12,3,29,2,28,0,0,2,0,0,0,0,3890,6,1,5.316648323,2.48490665,0,0
938d79e4c092ad,ba31132eba8292,3a2fa68d41ca32,duo,0,0,98.04,0,0,1,0,0,0,0,"1,836",79,2,47,0,45,0,0,0,0,0,0,0,190.1,2,0.1304,4.585375559,4.369447852,-2.037148629,-2.037148629
4d25390f24c4ea,5b0aca08b7d0eb,85a7b5ad9919f8,duo,1,1,224.9,0,7,1,0,2,1,33.66,"1,745",16,2,48,2,44,"1,282","1,518",0,3635,0,0,0,2616,8,0.6383,5.415655859,2.772588722,-0.448946887,-0.448946887
893330978ee523,ea3798887afd1a,0052ab0d129257,squad,0,0,48.1,0,0,0,1,0,0,0,"1,287",94,3,27,0,26,"1,001","1,494",0,0,0,0,0,48.74,1,0.0385,3.873282177,4.543294782,-3.257097038,-3.257097038
9480de9ae90d90,42bc5c140cd368,76ac7bf5abfbdb,solo,1,0,58.69,0,10,0,0,0,0,0,"1,405",62,1,98,0,96,0,0,0,0,0,0,0,410.5,4,0.5567,4.072269355,4.127134385,-0.585728784,-0.585728784
8ba819fccf19a6,b260ae0fa9d059,a5b836817ed118,squad,0,0,100,0,0,0,1,1,1,7.589,"1,331",39,3,27,1,26,0,0,0,0,0,0,0,104,2,0.1154,4.605170186,3.663561646,-2.159350925,-2.159350925
2e8e0a43a4bbde,6f0150397ead62,9ec1e6c1fd8ae5,squad,0,3,106.6,0,2,0,1,2,2,69.55,"1,377",16,3,30,1,29,0,0,0,0,0,0,0,2494,3,0.7931,4.669083512,2.772588722,-0.231805962,-0.231805962
4d7596ec0fab53,ed9a371f591c0a,3bc11d89606cf0,solo,0,0,61.81,0,1,0,0,1,1,6.668,"1,820",28,1,87,0,85,0,0,0,377.1,0,0,0,1394,8,0.6279,4.124065164,3.33220451,-0.465374361,-0.465374361
0518e080eb795b,0935befad92bcc,0b93c49599add6,duo,0,0,84.64,0,0,1,0,0,0,0,"1,460",63,2,49,0,45,985,"1,488",0,0,0,0,0,206.3,3,0.4167,4.438406968,4.143134726,-0.875388741,-0.875388741
63fded474e325e,e1a7c7b463a8d5,2db42a79d10e2f,squad,0,3,267.4,0,6,0,1,0,0,0,"1,368",53,3,29,1,27,"1,392","1,488",1,0,0,0,0,2397,2,0.7857,5.588745665,3.970291914,-0.241180239,-0.241180239
e62fc2bb12ebd7,4853f7920d080d,25ede86e2251ab,squad,2,0,75.79,0,0,0,1,0,0,0,"1,392",75,3,29,0,29,"1,000","1,500",0,0,0,0,0,255.5,4,0.2857,4.327966358,4.317488114,-1.25281297,-1.25281297
5cb5371bf8ea4c,bde2917deeb89a,a2bbd41efbca82,squad,0,1,100,0,0,0,1,0,0,0,"1,421",42,3,28,1,25,0,0,0,0,0,0,0,2783,4,0.8148,4.605170186,3.737669618,-0.204812595,-0.204812595
5cbd99e8b4fb9f,c064fd6c4ea767,bc8e53ce104ec5,squad,0,2,102.4,0,10,0,1,1,1,10.4,"1,841",34,3,27,0,27,0,0,1,3037,0,0,0,1542,7,0.4231,4.628886713,3.526360525,-0.860146721,-0.860146721
9684e93cf47c60,a53aa7dc65ab4c,9bf6a5a51390ad,solo,0,1,161.6,0,0,0,0,0,0,0,"1,956",54,1,99,0,94,"1,148","1,528",0,0,0,0,0,1026,5,0.6531,5.085124146,3.988984047,-0.426025022,-0.426025022
f9bf5f5f52f30d,a9cf9dc9a829fa,d09f8729c6a869,squad,0,0,400,2,0,0,1,4,4,14.84,"1,867",7,3,29,3,26,0,0,0,6063,0,0,0,1572,4,0.5714,5.991464547,1.945910149,-0.559665789,-0.559665789
7b7a02724d7e60,6c4252f173fbe6,9873f739fe25f7,squad,0,3,106.4,0,1,0,1,0,0,0,"1,381",52,3,27,0,26,"1,482","1,505",0,252.9,0,0,0,1784,8,0.4615,4.667205577,3.951243719,-0.773273225,-0.773273225
0de44f99a619f7,ee85026039b105,faa09bc12abf4e,squad,0,1,5.511,0,6,0,1,0,0,0,"1,771",58,3,27,0,27,"1,366","1,645",0,1266,0,0,0,1195,7,0.4231,1.706746095,4.060443011,-0.860146721,-0.860146721
183e055617a5a6,b7fb42b6ddc5f3,f74c8a8cd45c7a,squad,0,1,285.2,1,0,0,1,1,1,21.03,"1,379",28,3,26,3,26,"1,284","1,487",0,0,0,0,0,2462,4,0.64,5.653190689,3.33220451,-0.446287103,-0.446287103
47a20fccaa4df8,aef5da17f19772,cc15bf5bd8a83e,duo,0,0,72.03,0,0,1,0,0,0,0,"1,877",48,2,45,0,44,"1,000","1,500",0,0,0,0,0,2991,7,0.8864,4.277082699,3.871201011,-0.120586963,-0.120586963
a00fc8b6c90804,00ebe95531919b,79a76763af4ee7,squad,0,0,13.6,0,0,0,1,0,0,0,"1,853",83,3,28,1,27,"1,000","1,500",1,0,0,0,0,316.8,3,0.1481,2.610069793,4.418840608,-1.909867558,-1.909867558
b4ec33276d1f7b,9801ddf0933251,683dbe09fbcd1d,squad,0,0,110.4,0,0,0,1,0,0,0,"1,297",59,3,27,0,26,0,0,0,0,0,0,0,936.6,2,0.5,4.704110134,4.077537444,-0.693147181,-0.693147181
58ad0692d9ec59,2044e62001bcfe,60bf454276bea5,duo,0,0,64.71,0,0,1,0,0,0,0,"1,906",66,2,48,0,46,0,0,0,0,0,0,0,482.4,8,0.383,4.169915749,4.189654742,-0.95972029,-0.95972029
9d2247b141b32b,f7e686b76084a4,fba1b078cd5278,squad,0,1,275,1,1,0,1,3,1,35.03,"1,343",12,3,29,3,29,0,0,0,0,0,0,0,304.7,3,0.3571,5.616771098,2.48490665,-1.029739424,-1.029739424
fc41f9653cf566,29df7614d5da47,e4694daca5e08b,squad,0,0,200,0,1,0,1,2,1,9.511,"1,312",17,3,28,2,28,0,0,0,0,0,0,0,317.4,3,0.2593,5.298317367,2.833213344,-1.349769586,-1.349769586
e09d61fb901880,07dc1c9975813e,f6fada1a3da3c8,squad,0,1,140.8,0,1,0,1,1,1,18.12,"1,377",39,3,29,1,29,0,0,0,0,0,0,0,360.3,5,0.4643,4.947340444,3.663561646,-0.767224384,-0.767224384
b2333a9ab9ff83,ca5bf87d64ac76,fddb4927d60718,duo,0,0,18.44,0,0,1,0,0,0,0,"1,900",72,2,45,0,43,0,0,0,0,0,0,0,31.92,2,0.2045,2.914522218,4.276666119,-1.587187303,-1.587187303
decb41d0b3f3bd,22b10c6c2bd494,a6876664ed1111,duo,1,0,159.2,0,0,1,0,1,1,29.73,"1,446",34,2,49,1,46,0,0,0,0,0,0,0,434.2,3,0.3958,5.070161273,3.526360525,-0.926846246,-0.926846246
b1ea99365c0f61,3afda8b4b2286d,0d7bf4486ab482,duo,0,3,135.1,1,1,1,0,2,1,12.36,"1,869",13,2,49,1,48,0,0,0,0,65.52,0,0,1881,8,0.6875,4.906015245,2.564949357,-0.374693449,-0.374693449
859d5188db967e,d1c592d4887d43,2eb703c2407c3f,duo,3,6,291.3,1,7,1,0,2,1,296.7,"1,778",11,2,49,1,45,0,0,1,0,0,0,0,2929,9,0.9792,5.674353664,2.397895273,-0.021019367,-0.021019367
aed50752ded286,ef0c43051d4995,b0e201a13b19c5,squad,1,0,424.5,2,0,0,1,5,3,23.35,"1,432",3,3,29,4,26,0,0,1,0,0,2,0,257.9,3,0.4286,6.050912006,1.098612289,-0.847231196,-0.847231196
